"","Study","Site","Pre_Date","Post_Date","Subsample","Treatment","Cage","FishID","Tag","Pre_FL_mm","Post_FL_mm","Lab_FL_mm","Pre_Weight_g","Post_Weight_g","Lab_Weight_g","Pre_CF","Post_CF","Lab_CF","Lab_LiverWeight_g","Lab_HSI","Glycogen","Post_CTM","CTM_Recovered","Comments"
"43","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN43",NA,NA,70,69,NA,2.82,2.626,NA,0.822157434402332,0.799369271465926,0.019,0.723533891850724,14.5311272293058,NA,NA,"Dead in bucket NA"
"44","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN44",NA,NA,61,NA,NA,1.87,NA,NA,0.823857503491482,NA,NA,NA,NA,NA,NA,"Dead in bucket NA"
"45","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN45",NA,NA,62,NA,NA,1.88,NA,NA,0.788828840925111,NA,NA,NA,NA,NA,NA,"dead in bucket NA"
"46","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN46",NA,NA,45,51,NA,0.83,0.7836,NA,0.910836762688614,0.590723025080851,0.005,0.638080653394589,6.17471750646953,NA,NA,"dead in bucket NA"
"47","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN47",NA,NA,56,NA,NA,1.36,NA,NA,0.774416909620991,NA,NA,NA,NA,NA,NA,"dead in bucket NA"
"48","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN48",NA,NA,58,62,NA,1.61,1.5725,NA,0.825167083521259,0.659804974656775,0.0214,1.36089030206677,21.808651488452,NA,NA,"Dead in bucket NA"
"49","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN49",NA,NA,59,NA,NA,1.48,NA,NA,0.72061895325228,NA,NA,NA,NA,NA,NA,"Side bruised NA"
"50","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN50",NA,NA,50,53,NA,0.8,0.7491,NA,0.64,0.503167043935598,0.0064,0.854358563609665,2.54163893846149,NA,NA,"dead in bucket. bruised NA"
"51","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N1",NA,NA,52,55,NA,1,0.955,NA,0.711197086936732,0.574004507888805,0.0077,0.806282722513089,6.70308457281578,NA,NA,"bruised CTM crew bucketed fish 1-27 in first round. DWR crew bucketed remaining fish later"
"52","SMSCG","Rio Vista",NA,"2024-09-26",NA,NA,"1","2024_SMS_C1N2",NA,NA,55,57,NA,0.96,0.882,NA,0.577009767092412,0.476259901832143,0.0055,0.623582766439909,1.43547858346516,NA,NA,"Dead in bucket, stiff NA"
