Taxon,feedtaxa
Macrocyclops,Macrocyclops albidus
Macrocyclops adult,
Macrocyclops albidus,
Macrocyclops copepodid,
Macrothrix,Macrothrix
Maeotias marginata (large),
Mesocyclops,
Mesocyclops adult,
Mesocyclops edax,Mesocyclops edax
Microcyclops adult,
Microcyclops rubellus,Microcyclops rubellus
Moina,Moina
Gastropoda veliger,Mollusca larvae
Monospilus,Monospilus
Rotifer,Monostyla
Monospilus dispar,
Munnidae,
Munnidae,
Mysid,Mysida
Naididae,
Nematoda,Nematoda
Nippoleucon hinumensis,
Notholca,
Oithona,Oithona spp.
Oithona copepodid,Oithona copepodid
Oithona davisae,Oithona davisae
Oithona similis,Oithona similis
Osphranticum copepodid,Osphranticum copepodid
Osphranticum labronectum,Osphranticum labronectum
Osphranticum labronectum adult,
Ostracoda,Ostracods
Paracyclops,Paracyclops fimbriatus
Paracyclops chiltoni,
Paracyclops poppei,
Picripleuroxus,Picripleuroxus
Plant material,
Plationus,
Platyias,Platyias
Pleuroxus,Pleuroxus
Polyarthra,Polyarthra
Polycentropodidae larvae,
Polychaete larvae,
Pseudochydorus,Pseudochydorus
Pseudodiaptomus forbesi,
Pseudodiaptomus forbesi adult,Pseudodiaptomus forbesi adult
Pseudodiaptomus forbesi copepodid,Pseudodiaptomus forbesi copepodid
Pseudodiaptomus forbesi nauplii,
Pseudodiaptomus nauplii,
Rotifer,Cephalodella
Rotifer,
Rotifer,Bdelloid
Scapholeberis,Scapholeberis
Shrimp,Shrimp
Sida,Sida
Simocephalus,Simocephalus
Sinocalanus adult,
Sinocalanus doerrii adult,Sinocalanus doerrii adult
Sinocalanus doerrii copepodid,Sinocalanus doerrii copepodid
Sinocalanus nauplii,
Skistodiaptomus pallidus,Skistodiaptomus pallidus
Small rock,
Sphaeromatidae,
Rotifer,Synchaeta
Tanaidacea,
Tardigrada,Tardigrada
Testudinella,Testudinella
Tortanus,Tortanus spp.
Tortanus copepodid,Tortanus copepodid
Trichocerca,Trichocerca
Trichoptera adult,
Trichotria,Trichotria
Tricoptera larvae,
Tropocyclops,Tropocyclops
Tropocyclops prasinus,
Turbellaria,
Unidentified eggs,
