"","Cage","Pre_FL_cm","Pre_Weight_g","Pre_CF","Post_FL_cm","Post_Weight_g","Post_CF","Delta_CF","Site","Mesh"
"112","A",5.1,1.02,0.769,5.3,0.86,0.578,-0.191,"RV","wrap"
"113","A",5.4,0.87,0.553,5.6,1.01,0.575,0.022,"RV","wrap"
"114","A",6,1.34,0.62,6,1.54,0.713,0.093,"RV","wrap"
"115","A",5.5,1.11,0.667,NA,NA,NA,NA,"RV","wrap"
"116","A",5.4,1.12,0.711,5.5,1.49,0.896,0.185,"RV","wrap"
"117","A",NA,NA,NA,6.2,1.72,0.722,NA,"RV","wrap"
"118","A",NA,NA,NA,6,1.48,0.685,NA,"RV","wrap"
"119","A",NA,NA,NA,6.1,1.72,0.758,NA,"RV","wrap"
"120","A",NA,NA,NA,6,1.43,0.662,NA,"RV","wrap"
"121","A",NA,NA,NA,5.4,1.2,0.762,NA,"RV","wrap"
"122","B",6.3,1.82,0.728,6.2,1.2,0.504,-0.224,"DWSC","large"
"123","B",6.3,1.38,0.552,6.1,1.01,0.445,-0.107,"DWSC","large"
"124","B",6.1,1.62,0.714,6,1.44,0.667,-0.047,"DWSC","large"
"125","B",6,1.29,0.597,6,0.91,0.421,-0.176,"DWSC","large"
"126","B",6.8,2.08,0.662,6.6,1.8,0.626,-0.036,"DWSC","large"
"127","B",7,2.3,0.671,6.9,1.86,0.566,-0.105,"DWSC","large"
"128","B",6.2,1.54,0.646,6.2,1.37,0.575,-0.071,"DWSC","large"
"129","B",6.2,1.64,0.688,6.2,1.48,0.621,-0.067,"DWSC","large"
"130","B",6.6,2.24,0.779,6.5,1.33,0.484,-0.295,"DWSC","large"
"131","B",6.5,1.87,0.681,6.4,1.32,0.504,-0.177,"DWSC","large"
"132","B",6.1,1.29,0.568,6.2,1.11,0.466,-0.102,"DWSC","large"
"133","B",6.2,1.31,0.55,6.1,0.98,0.432,-0.118,"DWSC","large"
"134","B",6,1.38,0.639,6.1,1.09,0.48,-0.159,"DWSC","large"
"135","B",6.5,1.62,0.59,6.4,1.34,0.511,-0.079,"DWSC","large"
"136","B",6.2,1.69,0.709,6.2,1.49,0.625,-0.084,"DWSC","large"
"137","B",6.4,1.69,0.645,6.5,1.41,0.513,-0.132,"DWSC","large"
"138","B",6.3,1.29,0.516,6.6,1.5,0.522,0.006,"DWSC","large"
"139","B",5.7,1.17,0.632,5.7,1.06,0.572,-0.06,"DWSC","large"
"140","B",5.9,1.65,0.803,5.8,1.57,0.805,0.002,"DWSC","large"
"141","B",7.3,2.49,0.64,7.2,2.11,0.565,-0.075,"DWSC","large"
"142","B",5.8,1.35,0.692,6,1.19,0.551,-0.141,"DWSC","large"
"143","B",6.3,1.83,0.732,6.2,1.31,0.55,-0.182,"DWSC","large"
"144","B",5.8,1.28,0.656,5.7,1.11,0.599,-0.057,"DWSC","large"
"145","B",6.1,1.61,0.709,6.2,1.41,0.592,-0.117,"DWSC","large"
"146","B",6.4,2.14,0.816,6.5,1.88,0.685,-0.131,"DWSC","large"
"147","B",5.7,0.96,0.518,5.5,0.76,0.457,-0.061,"DWSC","large"
"148","B",6,1.35,0.625,6.1,1.01,0.445,-0.18,"DWSC","large"
"149","B",6.9,2.3,0.7,5.6,1.68,0.957,0.257,"DWSC","large"
"150","B",6.6,2.04,0.71,5.6,1.77,1.008,0.298,"DWSC","large"
"151","B",6.4,1.59,0.607,6.5,1.36,0.495,-0.112,"DWSC","large"
"152","B",6.5,1.91,0.695,6.5,1.63,0.594,-0.101,"DWSC","large"
"153","B",NA,NA,NA,5.1,0.86,0.648,NA,"DWSC","large"
"154","B",6.8,1.67,0.531,6.5,1.29,0.47,-0.061,"DWSC","large"
"155","B",5.2,1.03,0.733,5.5,0.88,0.529,-0.204,"DWSC","large"
"156","B",6.7,2.19,0.728,6.7,2.05,0.682,-0.046,"DWSC","large"
"157","B",6.5,1.71,0.623,6.4,1.36,0.519,-0.104,"DWSC","large"
"158","B",6.1,1.55,0.683,6.2,1.28,0.537,-0.146,"DWSC","large"
"159","B",4.8,0.81,0.732,5,0.66,0.528,-0.204,"DWSC","large"
"160","B",6.4,1.68,0.641,6.3,0.94,0.376,-0.265,"DWSC","large"
"161","B",5.5,1.19,0.715,5.7,1.04,0.562,-0.153,"DWSC","large"
"162","B",5.4,1.07,0.68,5.6,0.97,0.552,-0.128,"DWSC","large"
"163","B",5.5,0.92,0.553,5.6,0.68,0.387,-0.166,"DWSC","large"
"164","B",NA,NA,NA,6.1,1.16,0.511,NA,"DWSC","large"
"165","B",6.5,1,0.364,6.6,1.7,0.591,0.227,"DWSC","large"
"166","B",5.3,0.85,0.571,5.4,0.69,0.438,-0.133,"DWSC","large"
"167","B",7,2.78,0.81,7.1,2.52,0.704,-0.106,"DWSC","large"
"168","B",5.9,1.36,0.662,6,1.06,0.491,-0.171,"DWSC","large"
"169","B",5.8,1.42,0.728,6,1.19,0.551,-0.177,"DWSC","large"
"170","B",6.5,1.73,0.63,6.7,1.43,0.475,-0.155,"DWSC","large"
"171","B",5.9,1.36,0.662,6.2,1,0.42,-0.242,"DWSC","large"
"172","B",7.1,2.1,0.587,6.9,1.79,0.545,-0.042,"DWSC","large"
"173","B",6.2,1.51,0.634,6.2,1.13,0.474,-0.16,"DWSC","large"
"174","B",6.2,1.52,0.638,6.1,1.37,0.604,-0.034,"DWSC","large"
"175","B",6.2,1.91,0.801,6.3,1.96,0.784,-0.017,"DWSC","large"
"176","B",NA,NA,NA,5.9,1.22,0.594,NA,"DWSC","large"
"177","B",5.9,1.6,0.779,6.1,1.36,0.599,-0.18,"DWSC","large"
"178","B",6.4,1.3,0.496,6.4,1.54,0.587,0.091,"RV","large"
"179","B",5.8,1.44,0.738,6.3,1.8,0.72,-0.018,"RV","large"
"180","B",6.3,1.69,0.676,6.8,1.77,0.563,-0.113,"RV","large"
"181","B",NA,NA,NA,6.4,1.77,0.675,NA,"RV","large"
"182","B",NA,NA,NA,6.3,1.97,0.788,NA,"RV","large"
"183","B",5.3,0.84,0.564,5.5,1.04,0.625,0.061,"RV","large"
"184","B",5.9,1.28,0.623,6.1,1.64,0.723,0.1,"RV","large"
"185","B",6.2,1.66,0.697,6.5,2.1,0.765,0.068,"RV","large"
"186","B",6.3,1.86,0.744,6.6,2.07,0.72,-0.024,"RV","large"
"187","B",6.2,1.52,0.638,6.3,1.67,0.668,0.03,"RV","large"
"188","B",5.8,1.34,0.687,6.1,1.62,0.714,0.027,"RV","large"
"189","B",NA,NA,NA,6.4,1.89,0.721,NA,"RV","large"
"190","B",5.9,1.12,0.545,6,1.45,0.671,0.126,"RV","large"
"191","B",5.3,0.95,0.638,5.5,1.16,0.697,0.059,"RV","large"
"192","B",6,1.15,0.532,6.1,1.55,0.683,0.151,"RV","large"
"193","B",5.4,0.93,0.591,5.8,1.22,0.625,0.034,"RV","large"
"194","B",4.9,0.72,0.612,5.3,0.94,0.631,0.019,"RV","large"
"195","B",5.9,1.31,0.638,6,1.58,0.731,0.093,"RV","large"
"196","B",5.6,1.1,0.626,5.9,1.38,0.672,0.046,"RV","large"
"197","B",7,2.23,0.65,7,2.43,0.708,0.058,"RV","large"
"198","B",6.5,1.82,0.663,6.8,2.02,0.642,-0.021,"RV","large"
"199","B",6.1,1.48,0.652,6.5,1.84,0.67,0.018,"RV","large"
"200","B",6.1,1.41,0.621,5.4,1.74,1.105,0.484,"RV","large"
"201","B",5.2,0.94,0.669,5.6,1.24,0.706,0.037,"RV","large"
"202","B",5.2,0.88,0.626,5.5,1.18,0.709,0.083,"RV","large"
"203","B",5.3,0.89,0.598,5.5,1.17,0.703,0.105,"RV","large"
"204","B",5.7,1.3,0.702,6.2,1.7,0.713,0.011,"RV","large"
"205","B",5.6,1.03,0.587,5.9,1.39,0.677,0.09,"RV","large"
"206","B",5.6,1.09,0.621,6,1.49,0.69,0.069,"RV","large"
"207","B",5.6,1.02,0.581,5.7,1.19,0.643,0.062,"RV","large"
"208","B",5.9,1.31,0.638,6.2,1.59,0.667,0.029,"RV","large"
"209","B",5.3,1.08,0.725,5.6,1.22,0.695,-0.03,"RV","large"
"210","B",5.9,1.2,0.584,6.1,1.44,0.634,0.05,"RV","large"
"211","B",6.3,2.12,0.848,6.7,2.31,0.768,-0.08,"RV","large"
"212","B",NA,NA,NA,6.4,1.75,0.668,NA,"RV","large"
"213","B",6.2,1.64,0.688,6.5,1.89,0.688,0,"RV","large"
"214","B",5.7,1.08,0.583,6,1.43,0.662,0.079,"RV","large"
"215","B",6.3,1.58,0.632,6.4,1.74,0.664,0.032,"RV","large"
"216","B",6.6,1.47,0.511,7,2.25,0.656,0.145,"RV","large"
"217","B",NA,NA,NA,7.4,2.9,0.716,NA,"RV","large"
"218","B",6.2,1.65,0.692,6.5,2.09,0.761,0.069,"RV","large"
"219","B",5.4,0.97,0.616,5.6,1.17,0.666,0.05,"RV","large"
"220","B",6.5,1.97,0.717,6.6,2.15,0.748,0.031,"RV","large"
"221","B",6.1,1.42,0.626,6.3,1.66,0.664,0.038,"RV","large"
"222","B",6,1.56,0.722,6.3,1.65,0.66,-0.062,"RV","large"
"223","B",6,1.5,0.694,6.4,1.81,0.69,-0.004,"RV","large"
"224","B",6.3,1.71,0.684,6.4,1.9,0.725,0.041,"RV","large"
"225","B",6.5,2,0.728,6.7,2.29,0.761,0.033,"RV","large"
"226","B",6.3,1.54,0.616,6.4,1.67,0.637,0.021,"RV","large"
"227","B",6.5,1.94,0.706,6.6,2.04,0.71,0.004,"RV","large"
"228","B",5.7,0.96,0.518,6,1.26,0.583,0.065,"RV","large"
"229","B",6,1.36,0.63,6.4,1.73,0.66,0.03,"RV","large"
"230","B",NA,NA,NA,6.2,1.46,0.613,NA,"RV","large"
"231","B",4.6,0.62,0.637,5,0.81,0.648,0.011,"RV","large"
"232","B",5.6,1.36,0.774,6,1.48,0.685,-0.089,"RV","large"
"233","B",6.1,1.31,0.577,6.2,1.55,0.65,0.073,"RV","large"
"234","B",5.3,0.79,0.531,5.6,0.98,0.558,0.027,"RV","large"
"235","B",5.7,1.18,0.637,6,1.52,0.704,0.067,"RV","large"
"236","B",5.3,0.94,0.631,5.8,1.34,0.687,0.056,"RV","large"
"237","B",6.2,1.71,0.717,6.4,1.48,0.565,-0.152,"DWSC","large"
"238","B",6.8,2.19,0.696,6.8,1.94,0.617,-0.079,"DWSC","large"
"239","B",6.4,1.6,0.61,6.5,1.2,0.437,-0.173,"DWSC","large"
"240","B",6.2,1.54,0.646,6.3,1.28,0.512,-0.134,"DWSC","large"
"241","B",5.7,1.2,0.648,5.9,1.4,0.682,0.034,"RV","large"
"242","B",5.9,1.11,0.54,6,1.33,0.616,0.076,"RV","large"
"243","B",6,1.53,0.708,6.2,1.61,0.676,-0.032,"RV","large"
"244","B",6.3,1.44,0.576,6.4,1.71,0.652,0.076,"RV","large"
"245","B",5.6,1.09,0.621,6,1.31,0.606,-0.015,"RV","large"
"246","C",NA,NA,NA,6.1,1.46,0.643,NA,"DWSC","small"
"247","C",6.1,1.7,0.749,6.4,1.86,0.71,-0.039,"DWSC","small"
"248","C",6.5,1.88,0.685,6.3,1.63,0.652,-0.033,"DWSC","small"
"249","C",5.7,0.97,0.524,5.1,0.68,0.513,-0.011,"DWSC","small"
"250","C",6.7,2.09,0.695,6.6,1.79,0.623,-0.072,"DWSC","small"
"251","C",NA,NA,NA,4.9,0.63,0.535,NA,"DWSC","small"
"252","C",5.8,0.91,0.466,5.7,0.69,0.373,-0.093,"DWSC","small"
"253","C",6.5,1.98,0.721,6.5,1.74,0.634,-0.087,"DWSC","small"
"254","C",5.3,0.84,0.564,5.3,0.6,0.403,-0.161,"DWSC","small"
"255","C",5.5,1.17,0.703,5.4,0.97,0.616,-0.087,"DWSC","small"
"256","C",6.2,1.28,0.537,6,1.01,0.468,-0.069,"DWSC","small"
"257","C",5.7,1.31,0.707,6,1.14,0.528,-0.179,"DWSC","small"
"258","C",6.5,1.65,0.601,6.8,1.34,0.426,-0.175,"DWSC","small"
"259","C",6.5,1.73,0.63,6.8,1.43,0.455,-0.175,"DWSC","small"
"260","C",6.1,1.23,0.542,6,1.02,0.472,-0.07,"DWSC","small"
"261","C",5.7,1.48,0.799,5.9,1.31,0.638,-0.161,"DWSC","small"
"262","C",5.2,0.75,0.533,5.2,0.56,0.398,-0.135,"DWSC","small"
"263","C",NA,NA,NA,6.7,1.44,0.479,NA,"DWSC","small"
"264","C",6.4,1.76,0.671,6.3,1.39,0.556,-0.115,"DWSC","small"
"265","C",5.7,1.23,0.664,6.5,1.55,0.564,-0.1,"DWSC","small"
"266","C",6.5,1.83,0.666,6.4,1.53,0.584,-0.082,"DWSC","small"
"267","C",6.3,1.9,0.76,6.4,1.33,0.507,-0.253,"DWSC","small"
"268","C",6.8,2.23,0.709,7,1.91,0.557,-0.152,"DWSC","small"
"269","C",6.3,2.05,0.82,6.4,1.38,0.526,-0.294,"DWSC","small"
"270","C",6.3,1.45,0.58,6.3,1.22,0.488,-0.092,"DWSC","small"
"271","C",6,1.39,0.644,6.2,1.1,0.462,-0.182,"DWSC","small"
"272","C",6.3,1.26,0.504,6.4,0.9,0.343,-0.161,"DWSC","small"
"273","C",6.2,1.83,0.768,6,1.36,0.63,-0.138,"DWSC","small"
"274","C",6.1,1.32,0.582,6.2,1.01,0.424,-0.158,"DWSC","small"
"275","C",6.2,1.37,0.575,6.2,0.91,0.382,-0.193,"DWSC","small"
"276","C",5.8,1.19,0.61,5.8,0.97,0.497,-0.113,"DWSC","small"
"277","C",5.2,1.13,0.804,5.6,1.03,0.587,-0.217,"DWSC","small"
"278","C",NA,NA,NA,6.3,1.58,0.632,NA,"DWSC","small"
"279","C",7,2.49,0.726,7,1.54,0.449,-0.277,"DWSC","small"
"280","C",6,1.39,0.644,6.2,1.05,0.441,-0.203,"DWSC","small"
"281","C",5,0.74,0.592,5.2,0.66,0.469,-0.123,"DWSC","small"
"282","C",6,1.36,0.63,5.7,1.04,0.562,-0.068,"DWSC","small"
"283","C",5.7,1.23,0.664,5.7,1.11,0.599,-0.065,"DWSC","small"
"284","C",6.2,1.58,0.663,6.2,1.35,0.566,-0.097,"DWSC","small"
"285","C",NA,NA,NA,5.9,1.22,0.594,NA,"DWSC","small"
"286","C",6.8,2.29,0.728,7,1.95,0.569,-0.159,"DWSC","small"
"287","C",5.5,1.04,0.625,5.5,0.81,0.487,-0.138,"DWSC","small"
"288","C",6.2,1.76,0.738,6.3,1.62,0.648,-0.09,"DWSC","small"
"289","C",NA,NA,NA,6.2,1.55,0.65,NA,"DWSC","small"
"290","C",6.2,1.63,0.684,6.4,1.49,0.568,-0.116,"DWSC","small"
"291","C",6.5,2.13,0.776,6.5,1.91,0.695,-0.081,"DWSC","small"
"292","C",6.1,1.65,0.727,6,1.29,0.597,-0.13,"DWSC","small"
"293","C",NA,NA,NA,7.4,2.56,0.632,NA,"DWSC","small"
"294","C",7,2.31,0.673,6.9,2.02,0.615,-0.058,"DWSC","small"
"295","C",5.6,0.86,0.49,5.5,0.71,0.427,-0.063,"DWSC","small"
"296","C",6.3,1.7,0.68,6.2,1.49,0.625,-0.055,"DWSC","small"
"297","C",6.8,2.55,0.811,7,2.35,0.685,-0.126,"DWSC","small"
"298","C",6.6,2.25,0.783,7,1.99,0.58,-0.203,"DWSC","small"
"299","C",5.5,1.05,0.631,5.8,1.46,0.748,0.117,"RV","small"
"300","C",6.2,1.53,0.642,6.2,1.7,0.713,0.071,"RV","small"
"301","C",5.4,0.87,0.553,5.3,1.24,0.833,0.28,"RV","small"
"302","C",5.6,1.33,0.757,5.6,1.31,0.746,-0.011,"RV","small"
"303","C",6.2,1.5,0.629,6.3,1.66,0.664,0.035,"RV","small"
"304","C",NA,NA,NA,6.1,1.5,0.661,NA,"RV","small"
"305","C",NA,NA,NA,6.1,1.79,0.789,NA,"RV","small"
"306","C",6.6,1.91,0.664,6.7,2.09,0.695,0.031,"RV","small"
"307","C",5.8,1.09,0.559,6,1.23,0.569,0.01,"RV","small"
"308","C",5.8,1.31,0.671,5.9,1.4,0.682,0.011,"RV","small"
"309","C",5,0.74,0.592,5,0.83,0.664,0.072,"RV","small"
"310","C",6,1.27,0.588,6,1.53,0.708,0.12,"RV","small"
"311","C",6.4,2.05,0.782,6.6,2.25,0.783,0.001,"RV","small"
"312","C",5.1,0.89,0.671,5.5,1.12,0.673,0.002,"RV","small"
"313","C",6.7,1.95,0.648,6.1,2.09,0.921,0.273,"RV","small"
"314","C",5.1,0.91,0.686,5.3,1.09,0.732,0.046,"RV","small"
"315","C",6,1.38,0.639,5.9,1.54,0.75,0.111,"RV","small"
"316","C",5.8,1.33,0.682,6,1.46,0.676,-0.006,"RV","small"
"317","C",5.8,1.22,0.625,5.9,1.39,0.677,0.052,"RV","small"
"318","C",5.6,1.03,0.587,5.5,0.69,0.415,-0.172,"DWSC","small"
"319","C",6.8,NA,NA,6.9,1.55,0.472,NA,"DWSC","small"
"320","C",6,1.55,0.718,6.2,1.33,0.558,-0.16,"DWSC","small"
"321","C",6.7,2.01,0.668,6.7,1.78,0.592,-0.076,"DWSC","small"
"322","C",6,1.35,0.625,5.7,1.17,0.632,0.007,"DWSC","small"
"323","C",6.6,2.29,0.797,6.8,2.64,0.84,0.043,"RV","small"
"324","C",6.6,2.25,0.783,6.7,2.38,0.791,0.008,"RV","small"
"325","C",6.7,2.15,0.715,6.9,2.45,0.746,0.031,"RV","small"
"326","C",6,1.92,0.889,6.2,1.95,0.818,-0.071,"RV","small"
"327","C",6.2,1.88,0.789,6.1,1.98,0.872,0.083,"RV","small"
"328","C",5.8,1.23,0.63,6,1.4,0.648,0.018,"RV","small"
"329","C",6.7,2.18,0.725,6.8,2.34,0.744,0.019,"RV","small"
"330","C",6.7,2.05,0.682,6.7,2.25,0.748,0.066,"RV","small"
"331","C",5.8,1.28,0.656,5.7,1.42,0.767,0.111,"RV","small"
"332","C",6,1.63,0.755,6.1,1.66,0.731,-0.024,"RV","small"
"333","C",NA,NA,NA,5.4,1.26,0.8,NA,"RV","small"
"334","C",5,0.72,0.576,5.1,0.9,0.678,0.102,"RV","small"
"335","C",5.7,1.32,0.713,5.9,1.32,0.643,-0.07,"RV","small"
