Cage,Tag,Pre_FL_cm,Pre_Weight_g,Pre_CF,Post_FL_cm,Post_Weight_g,Post_CF,Delta_CF,Pre_post_Match
D,RA27,6.4,1.74,0.664,6.5,0.96,0.35,-0.314,Y
D,RB97,6,1.42,0.657,6.2,1.15,0.483,-0.174,Y
D,RI83,6.5,1.59,0.579,6.4,1.15,0.439,-0.14,Y
D,OO97,6.3,1.27,0.508,6.3,0.98,0.392,-0.116,Y
D,RG12,5.8,1.21,0.62,5.8,1.09,0.559,-0.061,Y
D,RF17,5.8,1.54,0.789,6.3,1.31,0.524,-0.265,Y
D,NTD3,NA,NA,NA,6.2,1.12,0.47,NA,N
D,RL31,5.5,0.93,0.559,5.5,0.79,0.475,-0.084,Y
D,RL60,6.3,1.68,0.672,6.5,1.63,0.594,-0.078,Y
D,RC59,5.8,1.41,0.723,6,1.29,0.597,-0.126,Y
D,RI59,5.6,0.9,0.512,5.7,0.81,0.437,-0.075,Y
D,RC40,6.4,1.76,0.671,6.4,1.53,0.584,-0.087,Y
D,RH05,6.3,1.87,0.748,6.4,1.24,0.473,-0.275,Y
D,RK35,6.5,2.02,0.736,6.6,1.88,0.654,-0.082,Y
D,OO15,6.2,1.59,0.667,6,1.43,0.662,-0.005,Y
D,RG58,5.3,0.92,0.618,5.5,0.81,0.487,-0.131,Y
D,RC81,5.9,1.28,0.623,6,1.41,0.653,0.03,Y
E,OO38,6.3,1.37,0.548,6.3,1.04,0.416,-0.132,Y
E,RA20,6.5,1.7,0.619,6.5,1.43,0.521,-0.098,Y
E,RG97,6.5,1.87,0.681,6.5,1.67,0.608,-0.073,Y
E,RA80,6,1.66,0.769,6,1.49,0.69,-0.079,Y
E,RA93,6.5,2.14,0.779,6.6,1.94,0.675,-0.104,Y
E,RJ68,5,0.91,0.728,5.2,0.78,0.555,-0.173,Y
E,RC43,6.3,1.45,0.58,6.3,1.21,0.484,-0.096,Y
E,OO66,5.6,0.98,0.558,5.7,0.75,0.405,-0.153,Y
E,RG43,6.3,1.75,0.7,6.3,1.54,0.616,-0.084,Y
E,NTE1,NA,NA,NA,6.6,1.65,0.574,NA,N
E,RA60,6.5,1.8,0.655,6.5,1.39,0.506,-0.149,Y
E,RH12,5.7,1.16,0.626,5.6,1.04,0.592,-0.034,Y
E,RK65,6.4,1.73,0.66,6.4,1.55,0.591,-0.069,Y
E,RL96,6.8,2.07,0.658,6.8,1.77,0.563,-0.095,Y
E,RJ34,5.6,1.11,0.632,5.5,0.93,0.559,-0.073,Y
E,RD27,6,1.67,0.773,6.1,1.52,0.67,-0.103,Y
E,RC10,5.5,0.99,0.595,5.5,0.8,0.481,-0.114,Y
E,RK42,6.4,1.65,0.629,6.2,1.38,0.579,-0.05,Y
E,RD48,6.8,1.87,0.595,6.7,1.79,0.595,0,Y
E,RH63,6,1.39,0.644,6.1,1.3,0.573,-0.071,Y
E,RC96,6.3,2.05,0.82,6.4,1.86,0.71,-0.11,Y
E,RB79,6.4,1.61,0.614,6.4,1.37,0.523,-0.091,Y
E,OO19,6,1.25,0.579,6.1,1.05,0.463,-0.116,Y
E,RH18,5.8,1.35,0.692,6,1.17,0.542,-0.15,Y
E,RD41,6.3,1.5,0.6,6.3,1.28,0.512,-0.088,Y
E,RA69,6.3,1.76,0.704,6.2,1.39,0.583,-0.121,Y
E,RI77,5.3,1.1,0.739,5.6,1.14,0.649,-0.09,Y
E,RD43,6.5,2.01,0.732,6.6,1.81,0.63,-0.102,Y
E,RL87,6.5,1.87,0.681,6.5,1.12,0.408,-0.273,Y
E,RD75,6.4,1.87,0.713,6.4,1.53,0.584,-0.129,Y
E,NTE2,NA,NA,NA,6.8,2.16,0.687,NA,N
E,RI26,6.1,1.64,0.723,6.2,1.38,0.579,-0.144,Y
E,OO69,6.5,2.11,0.768,6.6,1.81,0.63,-0.138,Y
E,RI66,6.3,1.73,0.692,6.4,1.56,0.595,-0.097,Y
E,RJ70,6.4,1.8,0.687,5.7,0.96,0.518,-0.169,Y
E,RG86,6.6,1.25,0.435,5.8,1.11,0.569,0.134,Y
E,NTE3,NA,NA,NA,5.5,1.12,0.673,NA,N
E,RC89,6.6,1.7,0.591,6.5,1.42,0.517,-0.074,Y
E,RF54,6.7,1.92,0.638,6.5,1.51,0.55,-0.088,Y
E,RN93,6.4,1.8,0.687,6.4,1.55,0.591,-0.096,Y
E,RG56,5.9,1.1,0.536,5.9,0.85,0.414,-0.122,Y
E,RL63,5.6,1.31,0.746,5.8,1.23,0.63,-0.116,Y
E,RA66,6.5,2.11,0.768,6.5,1.48,0.539,-0.229,Y
E,RF63,5.7,1.04,0.562,5.6,0.8,0.456,-0.106,Y
E,RJ40,NA,NA,NA,5.5,1.02,0.613,NA,N
E,RL44,6,1.19,0.551,6,0.89,0.412,-0.139,Y
E,RI64,6,1.26,0.583,6.2,1.04,0.436,-0.147,Y
E,RN63,6.4,1.91,0.729,6.5,1.88,0.685,-0.044,Y
E,RA02,6,1.31,0.606,6,1.27,0.588,-0.018,Y
E,RC58,5.6,1.14,0.649,5.6,0.94,0.535,-0.114,Y
E,RJ07,5.7,1.09,0.589,5.7,0.83,0.448,-0.141,Y
E,RB07,6.6,1.76,0.612,6.5,1.55,0.564,-0.048,Y
E,RH48,6.5,1.98,0.721,6.4,1.86,0.71,-0.011,Y
E,RK52,6.7,1.92,0.638,6.6,1.56,0.543,-0.095,Y
E,RC77,5.8,1.49,0.764,6,1.47,0.681,-0.083,Y
E,RA51,5.9,1.22,0.594,5.8,1,0.513,-0.081,Y
E,OO89,5.9,1.36,0.662,5.7,1.24,0.67,0.008,Y
E,RI67,5.8,1.14,0.584,5.9,0.91,0.443,-0.141,Y
E,RL12,6.2,1.47,0.617,6.1,1.18,0.52,-0.097,Y
E,RL65,5.4,1.04,0.66,5.4,0.9,0.572,-0.088,Y
F,RB40,6.5,1.77,0.645,6,1.39,0.644,-0.001,Y
F,RH99,7.3,3.31,0.851,7.5,3.3,0.782,-0.069,Y
F,RA17,6,1.38,0.639,6,1.36,0.63,-0.009,Y
F,NTF1,NA,NA,NA,6.5,1.46,0.532,NA,N
F,RK16,5.9,1.44,0.701,5.8,1.21,0.62,-0.081,Y
F,RF98,5.7,1.11,0.599,5.8,0.98,0.502,-0.097,Y
F,RJ24,6.6,1.94,0.675,6.7,1.46,0.485,-0.19,Y
F,RK28,5.6,1.05,0.598,5.7,0.78,0.421,-0.177,Y
F,RJ62,7,2.16,0.63,7,1.82,0.531,-0.099,Y
F,RJ80,6.3,1.97,0.788,6.7,1.85,0.615,-0.173,Y
F,OO82,5.3,1.05,0.705,5.4,0.95,0.603,-0.102,Y
F,RB99,6.5,1.48,0.539,6.3,1.19,0.476,-0.063,Y
F,RF32,5.9,1.12,0.545,5.6,0.84,0.478,-0.067,Y
F,NTF2,NA,NA,NA,6,1.09,0.505,NA,N
F,OO46,5.4,1.05,0.667,5.9,0.9,0.438,-0.229,Y
F,RL33,6,1.45,0.671,6,1.22,0.565,-0.106,Y
F,RB13,6.6,1.91,0.664,6.5,1.8,0.655,-0.009,Y
F,RF72,7.3,3.14,0.807,7.4,2.91,0.718,-0.089,Y
F,RB68,6.3,1.48,0.592,6.2,1.02,0.428,-0.164,Y
F,RB15,5.5,0.99,0.595,5.5,0.75,0.451,-0.144,Y
F,RI87,6.2,1.67,0.701,6.3,1.42,0.568,-0.133,Y
F,RA38,NA,NA,NA,6.3,1.67,0.668,NA,N
F,RK15,NA,NA,NA,6.5,1.52,0.553,NA,N
F,RK73,6,1.16,0.537,6,0.91,0.421,-0.116,Y
F,RF06,7,2.34,0.682,7,2.15,0.627,-0.055,Y
F,RL71,6.3,1.4,0.56,6.4,1.04,0.397,-0.163,Y
F,RC63,6.2,1.54,0.646,6,1.37,0.634,-0.012,Y
F,RG69,5.4,1.02,0.648,4.9,0.84,0.714,0.066,Y
F,RI78,6.5,2.01,0.732,6.5,1.85,0.674,-0.058,Y
F,OO73,6,1.31,0.606,6.2,1.05,0.441,-0.165,Y
F,RJ39,5.8,1.17,0.6,6,0.91,0.421,-0.179,Y
F,OO77,5.7,1.16,0.626,5.8,0.83,0.425,-0.201,Y
F,RC00,4.8,0.71,0.642,4.8,0.56,0.506,-0.136,Y
F,RB05,6.2,1.62,0.68,6.1,1.31,0.577,-0.103,Y
F,RL98,6.8,2.14,0.681,7,1.91,0.557,-0.124,Y
F,RJ35,5.8,1.23,0.63,5.5,1.05,0.631,0.001,Y
F,RD78,NA,NA,NA,6,1.33,0.616,NA,N
F,RI39,6,1.71,0.792,6.2,1.51,0.634,-0.158,Y
F,OO85,6.5,1.77,0.645,6.6,1.49,0.518,-0.127,Y
F,RG94,5.6,1.28,0.729,5.8,1.19,0.61,-0.119,Y
F,RA89,6.5,1.99,0.725,6.9,1.74,0.53,-0.195,Y
F,RK81,4.9,0.49,0.416,4.7,0.37,0.356,-0.06,Y
F,RF69,5.6,1.09,0.621,5.7,0.96,0.518,-0.103,Y
F,RD79,6.9,2.51,0.764,7,1.48,0.431,-0.333,Y
F,RI08,6.4,1.71,0.652,6.5,1.42,0.517,-0.135,Y
F,RH89,5.5,1.19,0.715,5.5,0.96,0.577,-0.138,Y
F,OO30,6.4,1.66,0.633,6,1.47,0.681,0.048,Y
F,RH28,7.1,2.62,0.732,7,2.12,0.618,-0.114,Y
F,RB29,7,2.76,0.805,7.2,1.74,0.466,-0.339,Y
F,OO22,6.1,1.58,0.696,6.2,1.44,0.604,-0.092,Y
F,RL94,6.5,1.95,0.71,6.5,1.69,0.615,-0.095,Y
F,NTF3,NA,NA,NA,6,1.32,0.611,NA,N
F,RK90,6.5,1.53,0.557,6.5,1.2,0.437,-0.12,Y
F,RN51,5.8,1.46,0.748,6.2,1.38,0.579,-0.169,Y
F,RN92,7,1.98,0.577,6.5,1.7,0.619,0.042,Y
F,RL46,6,1.15,0.532,6,1,0.463,-0.069,Y
F,NTF4,NA,NA,NA,,0.59,NA,NA,N
F,RB51,6.5,1.99,0.725,6.2,1.52,0.638,-0.087,Y
F,RB61,6,1.74,0.806,6,1.67,0.773,-0.033,Y
F,RB21,5.9,1.41,0.687,6,1.07,0.495,-0.192,Y
FC1,RL45,6,1.52,0.704,5.7,1.15,0.620973795,-0.082729909,Y
FC1,RF42,6.5,2.25,0.819,6.5,1.86,0.67728721,-0.142011834,Y
FC1,NT11,NA,NA,NA,6,1.19,0.550925926,NA,N
FC1,RC25,6.6,1.88,0.654,6.5,1.65,0.600819299,-0.053102842,Y
FC1,RB76,6.5,1.47,0.535,6.2,1.05,0.440569299,-0.094706076,Y
FC1,RD35,5.6,1.19,0.678,5.5,0.88,0.52892562,-0.148689176,Y
FC1,NT12,NA,NA,NA,5.8,1.18,0.604780844,NA,N
FC1,NT13,NA,NA,NA,6,1,0.462962963,NA,N
FC1,RL25,5.9,1.28,0.623,5.7,0.97,0.523777897,-0.099460117,Y
FC1,RA96,6.5,1.74,0.634,6.2,1.42,0.595817529,-0.037773732,Y
FC1,RA72,NA,NA,NA,7.2,2.3,0.616212277,NA,N
FC1,NT14,NA,NA,NA,5.8,0.8,0.410020911,NA,N
FC1,RK21,6.2,1.58,0.663,6.2,1.25,0.524487261,-0.138464637,Y
FC1,RA03,5.5,0.93,0.559,5.4,0.6,0.381039476,-0.177938736,Y
FC1,OO39,6.2,1.91,0.801,6.1,1.61,0.709310471,-0.092106064,Y
FC1,RB17,5.6,1.26,0.717,5.5,1.11,0.667167543,-0.050306947,Y
