Site,Cage,Enclosure,Mesh,Pre_FL_cm,Post_FL_cm,PropChange_FL,Pre_Weight_g,Post_Weight_g,PropChange_Weight,Pre_CF,Post_CF,Delta_CF
RV,B,B,large,5.9,6,0.02,1.12,1.45,0.29,0.545,0.671,0.126
RV,B,B,large,5.3,5.5,0.04,0.95,1.16,0.22,0.638,0.697,0.059
RV,B,B,large,6,6.1,0.02,1.15,1.55,0.35,0.532,0.683,0.151
RV,B,B,large,5.4,5.8,0.07,0.93,1.22,0.31,0.591,0.625,0.034
RV,B,B,large,4.9,5.3,0.08,0.72,0.94,0.31,0.612,0.631,0.019
RV,B,B,large,5.9,6,0.02,1.31,1.58,0.21,0.638,0.731,0.093
RV,B,B,large,5.6,5.9,0.05,1.1,1.38,0.25,0.626,0.672,0.046
RV,B,B,large,7,7,0,2.23,2.43,0.09,0.65,0.708,0.058
RV,B,B,large,6.5,6.8,0.05,1.82,2.02,0.11,0.663,0.642,-0.021
RV,B,B,large,6.1,6.5,0.07,1.48,1.84,0.24,0.652,0.67,0.018
RV,B,B,large,6.1,5.4,-0.11,1.41,1.74,0.23,0.621,1.105,0.484
RV,B,B,large,5.2,5.6,0.08,0.94,1.24,0.32,0.669,0.706,0.037
RV,B,B,large,5.2,5.5,0.06,0.88,1.18,0.34,0.626,0.709,0.083
RV,B,B,large,5.3,5.5,0.04,0.89,1.17,0.31,0.598,0.703,0.105
RV,B,B,large,5.7,6.2,0.09,1.3,1.7,0.31,0.702,0.713,0.011
RV,B,B,large,5.6,5.9,0.05,1.03,1.39,0.35,0.587,0.677,0.09
RV,B,B,large,5.6,6,0.07,1.09,1.49,0.37,0.621,0.69,0.069
RV,B,B,large,5.6,5.7,0.02,1.02,1.19,0.17,0.581,0.643,0.062
RV,B,B,large,5.9,6.2,0.05,1.31,1.59,0.21,0.638,0.667,0.029
RV,B,B,large,5.3,5.6,0.06,1.08,1.22,0.13,0.725,0.695,-0.03
RV,B,B,large,5.9,6.1,0.03,1.2,1.44,0.2,0.584,0.634,0.05
RV,B,B,large,6.3,6.7,0.06,2.12,2.31,0.09,0.848,0.768,-0.08
RV,B,B,large,NA,6.4,NA,NA,1.75,NA,NA,0.668,NA
RV,B,B,large,6.2,6.5,0.05,1.64,1.89,0.15,0.688,0.688,0
RV,B,B,large,5.7,6,0.05,1.08,1.43,0.32,0.583,0.662,0.079
RV,B,B,large,6.3,6.4,0.02,1.58,1.74,0.1,0.632,0.664,0.032
RV,B,B,large,6.6,7,0.06,1.47,2.25,0.53,0.511,0.656,0.145
RV,B,B,large,NA,7.4,NA,NA,2.9,NA,NA,0.716,NA
RV,B,B,large,6.2,6.5,0.05,1.65,2.09,0.27,0.692,0.761,0.069
RV,B,B,large,5.4,5.6,0.04,0.97,1.17,0.21,0.616,0.666,0.05
RV,B,B,large,6.5,6.6,0.02,1.97,2.15,0.09,0.717,0.748,0.031
RV,B,B,large,6.1,6.3,0.03,1.42,1.66,0.17,0.626,0.664,0.038
RV,B,B,large,6,6.3,0.05,1.56,1.65,0.06,0.722,0.66,-0.062
RV,B,B,large,6,6.4,0.07,1.5,1.81,0.21,0.694,0.69,-0.004
RV,B,B,large,6.3,6.4,0.02,1.71,1.9,0.11,0.684,0.725,0.041
RV,B,B,large,6.5,6.7,0.03,2,2.29,0.15,0.728,0.761,0.033
RV,B,B,large,6.3,6.4,0.02,1.54,1.67,0.08,0.616,0.637,0.021
RV,B,B,large,6.5,6.6,0.02,1.94,2.04,0.05,0.706,0.71,0.004
RV,B,B,large,5.7,6,0.05,0.96,1.26,0.31,0.518,0.583,0.065
RV,B,B,large,6,6.4,0.07,1.36,1.73,0.27,0.63,0.66,0.03
RV,B,B,large,NA,6.2,NA,NA,1.46,NA,NA,0.613,NA
RV,B,B,large,4.6,5,0.09,0.62,0.81,0.31,0.637,0.648,0.011
RV,B,B,large,5.6,6,0.07,1.36,1.48,0.09,0.774,0.685,-0.089
RV,B,B,large,6.1,6.2,0.02,1.31,1.55,0.18,0.577,0.65,0.073
RV,B,B,large,5.3,5.6,0.06,0.79,0.98,0.24,0.531,0.558,0.027
RV,B,B,large,5.7,6,0.05,1.18,1.52,0.29,0.637,0.704,0.067
RV,B,B,large,5.3,5.8,0.09,0.94,1.34,0.43,0.631,0.687,0.056
DWSC,B,B,large,6.2,6.4,0.03,1.71,1.48,-0.13,0.717,0.565,-0.152
DWSC,B,B,large,6.8,6.8,0,2.19,1.94,-0.11,0.696,0.617,-0.079
DWSC,B,B,large,6.4,6.5,0.02,1.6,1.2,-0.25,0.61,0.437,-0.173
DWSC,B,B,large,6.2,6.3,0.02,1.54,1.28,-0.17,0.646,0.512,-0.134
RV,B,B,large,5.7,5.9,0.04,1.2,1.4,0.17,0.648,0.682,0.034
RV,B,B,large,5.9,6,0.02,1.11,1.33,0.2,0.54,0.616,0.076
RV,B,B,large,6,6.2,0.03,1.53,1.61,0.05,0.708,0.676,-0.032
RV,B,B,large,6.3,6.4,0.02,1.44,1.71,0.19,0.576,0.652,0.076
RV,B,B,large,5.6,6,0.07,1.09,1.31,0.2,0.621,0.606,-0.015
DWSC,C,C,small,NA,6.1,NA,NA,1.46,NA,NA,0.643,NA
DWSC,C,C,small,6.1,6.4,0.05,1.7,1.86,0.09,0.749,0.71,-0.039
DWSC,C,C,small,6.5,6.3,-0.03,1.88,1.63,-0.13,0.685,0.652,-0.033
DWSC,C,C,small,5.7,5.1,-0.11,0.97,0.68,-0.3,0.524,0.513,-0.011
DWSC,C,C,small,6.7,6.6,-0.01,2.09,1.79,-0.14,0.695,0.623,-0.072
DWSC,C,C,small,NA,4.9,NA,NA,0.63,NA,NA,0.535,NA
DWSC,C,C,small,5.8,5.7,-0.02,0.91,0.69,-0.24,0.466,0.373,-0.093
DWSC,C,C,small,6.5,6.5,0,1.98,1.74,-0.12,0.721,0.634,-0.087
DWSC,C,C,small,5.3,5.3,0,0.84,0.6,-0.29,0.564,0.403,-0.161
DWSC,C,C,small,5.5,5.4,-0.02,1.17,0.97,-0.17,0.703,0.616,-0.087
DWSC,C,C,small,6.2,6,-0.03,1.28,1.01,-0.21,0.537,0.468,-0.069
DWSC,C,C,small,5.7,6,0.05,1.31,1.14,-0.13,0.707,0.528,-0.179
DWSC,C,C,small,6.5,6.8,0.05,1.65,1.34,-0.19,0.601,0.426,-0.175
DWSC,C,C,small,6.5,6.8,0.05,1.73,1.43,-0.17,0.63,0.455,-0.175
DWSC,C,C,small,6.1,6,-0.02,1.23,1.02,-0.17,0.542,0.472,-0.07
DWSC,C,C,small,5.7,5.9,0.04,1.48,1.31,-0.11,0.799,0.638,-0.161
DWSC,C,C,small,5.2,5.2,0,0.75,0.56,-0.25,0.533,0.398,-0.135
DWSC,C,C,small,NA,6.7,NA,NA,1.44,NA,NA,0.479,NA
DWSC,C,C,small,6.4,6.3,-0.02,1.76,1.39,-0.21,0.671,0.556,-0.115
DWSC,C,C,small,5.7,6.5,0.14,1.23,1.55,0.26,0.664,0.564,-0.1
DWSC,C,C,small,6.5,6.4,-0.02,1.83,1.53,-0.16,0.666,0.584,-0.082
DWSC,C,C,small,6.3,6.4,0.02,1.9,1.33,-0.3,0.76,0.507,-0.253
DWSC,C,C,small,6.8,7,0.03,2.23,1.91,-0.14,0.709,0.557,-0.152
DWSC,C,C,small,6.3,6.4,0.02,2.05,1.38,-0.33,0.82,0.526,-0.294
DWSC,C,C,small,6.3,6.3,0,1.45,1.22,-0.16,0.58,0.488,-0.092
DWSC,C,C,small,6,6.2,0.03,1.39,1.1,-0.21,0.644,0.462,-0.182
DWSC,C,C,small,6.3,6.4,0.02,1.26,0.9,-0.29,0.504,0.343,-0.161
DWSC,C,C,small,6.2,6,-0.03,1.83,1.36,-0.26,0.768,0.63,-0.138
DWSC,C,C,small,6.1,6.2,0.02,1.32,1.01,-0.23,0.582,0.424,-0.158
DWSC,C,C,small,6.2,6.2,0,1.37,0.91,-0.34,0.575,0.382,-0.193
DWSC,C,C,small,5.8,5.8,0,1.19,0.97,-0.18,0.61,0.497,-0.113
DWSC,C,C,small,5.2,5.6,0.08,1.13,1.03,-0.09,0.804,0.587,-0.217
DWSC,C,C,small,NA,6.3,NA,NA,1.58,NA,NA,0.632,NA
DWSC,C,C,small,7,7,0,2.49,1.54,-0.38,0.726,0.449,-0.277
DWSC,C,C,small,6,6.2,0.03,1.39,1.05,-0.24,0.644,0.441,-0.203
DWSC,C,C,small,5,5.2,0.04,0.74,0.66,-0.11,0.592,0.469,-0.123
DWSC,C,C,small,6,5.7,-0.05,1.36,1.04,-0.24,0.63,0.562,-0.068
DWSC,C,C,small,5.7,5.7,0,1.23,1.11,-0.1,0.664,0.599,-0.065
DWSC,C,C,small,6.2,6.2,0,1.58,1.35,-0.15,0.663,0.566,-0.097
DWSC,C,C,small,NA,5.9,NA,NA,1.22,NA,NA,0.594,NA
DWSC,C,C,small,6.8,7,0.03,2.29,1.95,-0.15,0.728,0.569,-0.159
DWSC,C,C,small,5.5,5.5,0,1.04,0.81,-0.22,0.625,0.487,-0.138
DWSC,C,C,small,6.2,6.3,0.02,1.76,1.62,-0.08,0.738,0.648,-0.09
DWSC,C,C,small,NA,6.2,NA,NA,1.55,NA,NA,0.65,NA
DWSC,C,C,small,6.2,6.4,0.03,1.63,1.49,-0.09,0.684,0.568,-0.116
DWSC,C,C,small,6.5,6.5,0,2.13,1.91,-0.1,0.776,0.695,-0.081
DWSC,C,C,small,6.1,6,-0.02,1.65,1.29,-0.22,0.727,0.597,-0.13
DWSC,C,C,small,NA,7.4,NA,NA,2.56,NA,NA,0.632,NA
DWSC,C,C,small,7,6.9,-0.01,2.31,2.02,-0.13,0.673,0.615,-0.058
